,Word,Freq
0,realdonaldtrump,8566
1,great,6067
2,trump,5147
3,president,2790
4,thank,2746
5,people,2459
6,thanks,2137
7,us,2122
8,would,1889
9,get,1828
10,new,1820
11,donald,1815
12,country,1813
13,america,1642
14,like,1617
15,good,1563
16,time,1558
17,big,1552
18,obama,1547
19,one,1502
20,make,1450
21,never,1363
22,many,1332
23,going,1159
24,much,1153
25,run,1149
26,back,1130
27,vote,1108
28,today,1102
29,news,1091
30,best,1071
31,want,1037
32,love,1023
33,see,1016
34,need,1002
35,think,977
36,democrats,955
37,must,949
38,job,938
39,really,926
40,even,915
41,go,909
42,years,907
43,dont,900
44,china,873
45,last,871
46,true,867
47,via,851
48,know,846
49,hillary,843
50,bad,834
51,show,825
52,win,823
53,deal,823
54,media,805
55,way,804
56,american,799
57,work,792
58,world,770
59,day,763
60,ever,762
61,done,758
62,trump2016,751
63,border,749
64,fake,744
65,said,742
66,tonight,737
67,first,730
68,jobs,712
69,right,710
70,better,704
71,foxnews,690
72,made,687
73,nothing,687
74,watch,667
75,night,652
76,barackobama,645
77,mr,644
78,got,641
79,look,631
80,well,631
81,house,627
82,always,620
83,interview,619
84,states,617
85,united,616
86,cant,613
87,2016,612
88,foxandfriends,606
89,money,599
90,amazing,595
91,keep,593
92,year,590
93,looking,581
94,take,576
95,please,575
96,hard,574
97,election,573
98,man,567
99,real,567
100,state,553
101,im,551
102,cont,550
103,nice,545
104,–,543
105,say,543
106,national,536
107,business,528
108,total,526
109,clinton,525
110,forward,522
111,cnn,521
112,could,520
113,also,520
114,another,517
115,golf,513
116,republican,499
117,obamacare,495
118,apprentice,493
119,hope,493
120,happy,492
121,campaign,492
122,next,484
123,strong,482
124,record,481
125,makeamericagreatagain,481
126,congratulations,479
127,give,479
128,two,477
129,stop,476
130,military,472
131,republicans,470
132,usa,466
133,long,462
134,trade,460
135,far,459
136,things,458
137,come,454
138,needs,453
139,economy,451
140,wall,447
141,poll,447
142,believe,447
143,tomorrow,445
144,celebapprentice,444
145,let,441
146,getting,440
147,course,438
148,soon,437
149,history,430
150,every,429
151,everyone,425
152,apprenticenbc,424
153,support,422
154,working,420
155,party,418
156,totally,411
157,tax,408
158,help,405
159,crooked,404
160,youre,399
161,security,397
162,dems,397
163,debate,395
164,wonderful,393
165,success,392
166,book,391
167,wow,387
168,beautiful,383
169,york,381
170,making,378
171,crime,377
172,honor,376
173,pm,375
174,gop,366
175,fantastic,363
176,north,362
177,wrong,362
178,others,362
179,enjoy,357
180,office,356
181,russia,355
182,guy,354
183,white,354
184,morning,353
185,place,352
186,iran,352
187,agree,351
188,coming,350
189,smart,350
190,u,349
191,put,344
192,congress,344
193,thing,343
194,remember,341
195,read,337
196,call,333
197,speech,333
198,mexico,332
199,watching,332
200,yesterday,331
201,live,330
202,story,330
203,together,330
204,bill,328
205,americans,328
206,ratings,327
207,high,325
208,washington,324
209,illegal,322
210,wait,318
211,nbc,317
212,terrible,317
213,witch,316
214,dollars,314
215,wants,313
216,hunt,313
217,1,312
218,tough,312
219,change,310
220,numbers,309
221,meeting,308
222,john,308
223,mittromney,308
224,immigration,308
225,still,306
226,running,306
227,florida,305
228,leader,305
229,person,305
230,end,302
231,since,302
232,sure,301
233,left,300
234,life,299
235,times,298
236,government,297
237,top,296
238,talk,296
239,doesnt,295
240,join,295
241,report,294
242,start,293
243,week,290
244,democrat,289
245,presidential,288
246,sad,287
247,season,286
248,fact,285
249,celebrity,284
250,collusion,283
251,may,282
252,hotel,282
253,family,282
254,lost,282
255,2,281
256,massive,280
257,open,279
258,administration,278
259,senate,278
260,already,277
261,without,275
262,countries,274
263,fbi,273
264,hes,272
265,pay,269
266,important,269
267,leadership,268
268,yes,268
269,anything,267
270,million,267
271,nation,267
272,discussing,266
273,something,264
274,miss,263
275,greatest,263
276,tower,263
277,yet,263
278,fight,263
279,proud,262
280,major,262
281,fast,260
282,korea,257
283,use,256
284,governor,256
285,lot,256
286,iowa,256
287,everything,252
288,law,251
289,political,251
290,truly,249
291,happen,249
292,bush,248
293,bring,246
294,polls,246
295,care,245
296,thats,245
297,says,244
298,crowd,243
299,fox,242
300,disaster,242
301,cruz,242
302,carolina,240
303,luck,240
304,isis,240
305,stay,239
306,home,239
307,called,239
308,w,239
309,order,237
310,dc,236
311,including,236
312,4,235
313,taxes,235
314,truth,235
315,winning,235
316,energy,234
317,problem,233
318,anyone,232
319,saying,231
320,around,230
321,hit,230
322,hear,229
323,leaders,229
324,away,228
325,trying,228
326,friends,227
327,building,226
328,mueller,226
329,women,225
330,tremendous,225
331,tell,225
332,failing,225
333,little,224
334,attack,224
335,looks,223
336,south,223
337,special,222
338,ready,222
339,told,222
340,knows,222
341,successful,222
342,become,221
343,3,221
344,someone,220
345,ago,220
346,donaldtrump,220
347,entrepreneurs,219
348,5,218
349,talking,218
350,senator,218
351,words,218
352,find,216
353,incredible,216
354,candidate,216
355,scotland,215
356,billion,215
357,macys,215
358,maga,214
359,respect,213
360,future,212
361,full,211
362,worst,211
363,justice,211
364,team,210
365,ill,210
366,old,207
367,10,206
368,city,206
369,interviewed,206
370,100,206
371,fix,206
372,gave,205
373,birthday,204
374,friend,204
375,else,204
376,enough,204
377,actually,204
378,general,203
379,impeachment,203
380,game,202
381,oil,202
382,market,202
383,almost,201
384,ivankatrump,200
385,borders,199
386,endorsement,199
387,millions,199
388,loves,198
389,used,198
390,corrupt,198
391,badly,198
392,god,198
393,point,197
394,continue,196
395,art,196
396,interesting,196
397,awesome,196
398,fired,195
399,save,195
400,failed,195
401,chicago,194
402,taking,194
403,case,193
404,low,193
405,weak,192
406,economic,191
407,biggest,190
408,court,190
409,post,189
410,build,189
411,press,189
412,lead,189
413,ohio,189
414,worse,188
415,focus,188
416,seen,188
417,dishonest,188
418,vets,188
419,spending,187
420,seanhannity,187
421,tv,186
422,went,186
423,didnt,186
424,close,186
425,rally,186
426,wont,185
427,phony,185
428,jeb,185
429,debt,183
430,finally,183
431,war,182
432,days,180
433,lets,180
434,thought,179
435,victory,177
436,protect,177
437,iraq,176
438,despite,176
439,play,175
440,unemployment,175
441,reason,175
442,zero,175
443,doral,175
444,politics,174
445,crazy,174
446,power,173
447,part,173
448,gets,173
449,shows,173
450,complete,173
451,tariffs,172
452,deals,171
453,cuts,170
454,companies,170
455,stupid,169
456,name,169
457,paid,168
458,statement,168
459,champion,167
460,safe,167
461,syria,167
462,healthcare,167
463,public,167
464,sign,167
465,sunday,166
466,club,166
467,star,166
468,plan,164
469,given,164
470,stand,164
471,makes,164
472,fighting,164
473,celebrityapprentice,164
474,ted,164
475,nytimes,164
476,second,163
477,beat,163
478,speak,163
479,allowed,163
480,voting,163
481,twitter,162
482,free,162
483,chance,162
484,ive,161
485,number,161
486,highly,161
487,hoax,161
488,nancy,161
489,9,160
490,leaving,160
491,hate,160
492,pelosi,160
493,congrats,159
494,cut,159
495,wind,159
496,stock,159
497,nyc,158
498,israel,158
499,act,158
500,mess,158
501,hell,158
502,rubio,158
503,fair,157
504,radical,156
505,comey,156
506,barackobamas,155
507,megynkelly,155
508,problems,154
509,buy,154
510,politicians,154
511,foreign,154
512,less,154
513,wish,154
514,race,153
515,federal,153
516,southern,153
517,fun,152
518,event,152
519,control,152
520,move,152
521,winner,152
522,service,152
523,international,151
524,decision,151
525,released,151
526,highest,150
527,ask,150
528,texas,150
529,heading,150
530,joe,149
531,pennsylvania,149
532,welcome,149
533,check,148
534,men,148
535,took,148
536,loved,148
537,mark,147
538,absolutely,147
539,past,147
540,set,146
541,hampshire,146
542,along,145
543,giving,145
544,obamas,145
545,longer,145
546,system,145
547,able,145
548,lives,144
549,monday,144
550,playing,144
551,nobody,144
552,prices,143
553,nuclear,143
554,spent,142
555,gone,142
556,thinking,141
557,oreillyfactor,141
558,immediately,141
559,billions,141
560,trumps,140
561,started,140
562,lies,140
563,watched,139
564,easy,139
565,mind,139
566,try,139
567,schiff,139
568,favorite,138
569,speaking,138
570,virginia,138
571,primary,138
572,global,138
573,perhaps,137
574,j,136
575,taken,136
576,class,136
577,large,136
578,laws,136
579,families,136
580,policy,135
581,built,135
582,asked,134
583,came,134
584,possible,134
585,california,134
586,wonder,133
587,melania,133
588,thousands,133
589,veterans,133
590,visit,133
591,ties,133
592,votes,133
593,russian,133
594,choice,132
595,thoughts,132
596,interest,132
597,mike,132
598,small,132
599,stated,132
600,meet,131
601,action,131
602,horrible,131
603,killed,131
604,false,131
605,fan,130
606,video,130
607,rate,130
608,angry,130
609,wanted,129
610,vegas,129
611,losers,129
612,evening,129
613,trumpdoral,129
614,weekend,128
